player,salary,team,position,opp,fpts
Brian Dozier,3900,MIN,2B,NYY,6.35
Joe Panik,4100,SFG,2B,TBR,6.48
Brandon Phillips,3300,CIN,2B,HOU,6.49
Logan Forsythe,3500,TBR,2B,SFG,6.69
Ben Zobrist,4900,CHC,2B,PIT,6.93
Jason Kipnis,3200,CLE,2B,CHW,7.1
Dustin Pedroia,4400,BOS,2B,SEA,7.3
Neil Walker,4000,NYM,2B,ATL,7.32
Chase Utley,3600,LAD,2B,MIL,7.37
Robinson Cano,5200,SEA,2B,BOS,7.46
Jean Segura,4400,ARI,2B,PHI,7.47
Daniel Murphy,4600,WAS,2B,SDP,7.5
Ian Kinsler,5400,DET,2B,KCR,7.83
Rougned Odor,4600,TEX,2B,STL,8.04
Jose Altuve,5600,HOU,2B,CIN,10.24
Alexi Amarista,2200,SDP,2B/3B,WAS,4.26
Aaron Hill,2600,MIL,2B/3B,LAD,4.41
Chase d'Arnaud,2800,ATL,2B/3B,NYM,5.24
Yangervis Solarte,3200,SDP,2B/3B,WAS,6.6
Jace Peterson,2400,ATL,2B/OF,NYM,4.55
Howie Kendrick,2800,LAD,2B/OF,MIL,5.06
Kelly Johnson,3200,NYM,2B/OF,ATL,5.08
Whit Merrifield,3400,KCR,2B/OF,DET,5.52
Ryan Goins,3300,TOR,2B/SS,BAL,3.73
Darwin Barney,3000,TOR,2B/SS,BAL,4.29
Ryan Flaherty,2300,BAL,3B,TOR,4.38
Cheslor Cuthbert,2600,KCR,3B,DET,4.61
Luis Valbuena,3100,HOU,3B,CIN,4.93
Hernan Perez,3200,MIL,3B,LAD,4.99
Brett Wallace,2700,SDP,3B,WAS,5.37
Martin Prado,3400,MIA,3B,COL,5.51
Eugenio Suarez,2900,CIN,3B,HOU,5.58
Trevor Plouffe,3200,MIN,3B,NYY,5.75
Anthony Rendon,4500,WAS,3B,SDP,6.07
Jake Lamb,4800,ARI,3B,PHI,6.09
Matt Duffy,3300,SFG,3B,TBR,6.11
Chase Headley,3200,NYY,3B,MIN,6.44
Yunel Escobar,3700,LAA,3B,OAK,6.78
Justin Turner,3300,LAD,3B,MIL,6.81
Kyle Seager,5000,SEA,3B,BOS,6.92
Evan Longoria,4800,TBR,3B,SFG,6.93
Nick Castellanos,3900,DET,3B,KCR,7.04
Matt Carpenter,4100,STL,3B,TEX,7.19
Adrian Beltre,3700,TEX,3B,STL,7.25
Maikel Franco,3700,PHI,3B,ARI,7.28
Danny Valencia,4000,OAK,3B,LAA,7.31
Todd Frazier,4000,CHW,3B,CLE,7.56
Nolan Arenado,4600,COL,3B,MIA,9.43
Josh Donaldson,5600,TOR,3B,BAL,10.16
Mike Aviles,2800,DET,3B/OF,KCR,5.16
Jefry Marte,3200,LAA,3B/OF,OAK,5.32
Jose Ramirez,3400,CLE,3B/OF,CHW,5.68
Javier Baez,3800,CHC,3B/SS,PIT,6.49
Eduardo Nunez,5000,MIN,3B/SS,NYY,6.63
Manny Machado,4800,BAL,3B/SS,TOR,8
Jason Castro,2800,HOU,C,CIN,3.86
Chris Stewart,2000,PIT,C,CHC,3.95
Kurt Suzuki,2400,MIN,C,NYY,4.1
Kevin Plawecki,2300,NYM,C,ATL,4.14
Francisco Pena,2900,BAL,C,TOR,4.29
Sandy Leon,2900,BOS,C,SEA,4.38
Carlos Perez,2400,LAA,C,OAK,4.48
Jarrod Saltalamacchia,3500,DET,C,KCR,4.5
Miguel Montero,3500,CHC,C,PIT,4.57
Chris Gimenez,2300,CLE,C,CHW,4.57
Ramon Cabrera,2200,CIN,C,HOU,4.64
Alex Avila,2900,CHW,C,CLE,4.65
A.J. Pierzynski,2600,ATL,C,NYM,4.67
Curt Casali,2600,TBR,C,SFG,4.72
Bobby Wilson,2100,TEX,C,STL,4.88
James McCann,2600,DET,C,KCR,4.88
Cameron Rupp,3400,PHI,C,ARI,5.07
Chris Iannetta,4800,SEA,C,BOS,5.18
Derek Norris,3000,SDP,C,WAS,5.24
Yadier Molina,2800,STL,C,TEX,5.32
Yasmani Grandal,2800,LAD,C,MIL,5.5
Nick Hundley,2400,COL,C,MIA,5.62
Wilson Ramos,5000,WAS,C,SDP,5.69
Salvador Perez,3700,KCR,C,DET,5.98
J.T. Realmuto,2900,MIA,C,COL,6.26
Russell Martin,4000,TOR,C,BAL,6.29
Jonathan Lucroy,3800,MIL,C,LAD,6.37
Stephen Vogt,3300,OAK,C,LAA,6.4
Brian McCann,3900,NYY,C,MIN,6.48
Buster Posey,4100,SFG,C,TBR,6.61
Evan Gattis,3500,HOU,C,CIN,6.78
Welington Castillo,4000,ARI,C,PHI,7.38
Michael Martinez,2900,CLE,OF,CHW,4.05
Keon Broxton,2600,MIL,OF,LAD,4.37
Matt Joyce,2700,PIT,OF,CHC,4.41
Jarrett Parker,3000,SFG,OF,TBR,4.47
Michael Taylor,4400,WAS,OF,SDP,4.56
Brett Eibner,2300,KCR,OF,DET,4.59
Jaff Decker,2000,TBR,OF,SFG,4.6
